"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 23 20:03:47 IST 2024","Sat Mar 23 20:03:50 IST 2024","2689","firefox","TC02_checkoutworkflow.spec.js","@Sanity Login as a standard user to complete the checkout workflow","","","Login as a standard user to complete the checkout workflow",""
"passed","Sat Mar 23 20:03:52 IST 2024","Sat Mar 23 20:03:54 IST 2024","2377","webkit","TC02_checkoutworkflow.spec.js","@Sanity Login as a standard user to complete the checkout workflow","","","Login as a standard user to complete the checkout workflow",""
"passed","Sat Mar 23 20:03:32 IST 2024","Sat Mar 23 20:03:39 IST 2024","6550","Chrome","TC01_ProductTest.spec.js","@Smoke: Login as a standard user to verify the products page and logout from the application","","","@Sanity: Login to Application - Re-Login",""
"failed","Sat Mar 23 20:03:32 IST 2024","Sat Mar 23 20:03:42 IST 2024","10093","Chrome","TC01_ProductTest.spec.js","@Sanity: Click on Facebook link and check whether user is navigated to Facebook page","","","@Sanity: login to app and navigate to facebook",""
"passed","Sat Mar 23 20:03:32 IST 2024","Sat Mar 23 20:03:41 IST 2024","8832","Chrome","TC01_ProductTest.spec.js","@Smoke: Login as a standard user to verify the products page and logout from the application","","","@Smoke: Login to Application",""
"passed","Sat Mar 23 20:03:48 IST 2024","Sat Mar 23 20:03:51 IST 2024","2188","webkit","TC01_ProductTest.spec.js","@Smoke: Login as a standard user to verify the products page and logout from the application","","","@Sanity: Login to Application - Re-Login",""
"passed","Sat Mar 23 20:03:44 IST 2024","Sat Mar 23 20:03:48 IST 2024","3540","firefox","TC01_ProductTest.spec.js","@Sanity: Click on Facebook link and check whether user is navigated to Facebook page","","","@Sanity: login to app and navigate to facebook",""
"passed","Sat Mar 23 20:03:43 IST 2024","Sat Mar 23 20:03:49 IST 2024","5704","firefox","TC01_ProductTest.spec.js","@Smoke: Click on LinkedIn link and check whether user is navigated to LinkedIn page","","","@Smoke: login to app and navigate to linkedin",""
"passed","Sat Mar 23 20:03:32 IST 2024","Sat Mar 23 20:03:46 IST 2024","13391","Chrome","TC01_ProductTest.spec.js","@Smoke: Click on LinkedIn link and check whether user is navigated to LinkedIn page","","","@Smoke: login to app and navigate to linkedin",""
"passed","Sat Mar 23 20:03:43 IST 2024","Sat Mar 23 20:03:46 IST 2024","3097","firefox","TC01_ProductTest.spec.js","@Smoke: Login as a standard user to verify the products page and logout from the application","","","@Sanity: Login to Application - Re-Login",""
"passed","Sat Mar 23 20:03:51 IST 2024","Sat Mar 23 20:03:55 IST 2024","3748","webkit","TC01_ProductTest.spec.js","@Sanity: Click on Facebook link and check whether user is navigated to Facebook page","","","@Sanity: login to app and navigate to facebook",""
"passed","Sat Mar 23 20:03:50 IST 2024","Sat Mar 23 20:03:55 IST 2024","4594","webkit","TC01_ProductTest.spec.js","@Smoke: Click on LinkedIn link and check whether user is navigated to LinkedIn page","","","@Smoke: login to app and navigate to linkedin",""
"passed","Sat Mar 23 20:03:48 IST 2024","Sat Mar 23 20:03:52 IST 2024","3748","webkit","TC01_ProductTest.spec.js","@Smoke: Login as a standard user to verify the products page and logout from the application","","","@Smoke: Login to Application",""
"passed","Sat Mar 23 20:03:32 IST 2024","Sat Mar 23 20:03:42 IST 2024","9353","Chrome","TC02_checkoutworkflow.spec.js","@Sanity Login as a standard user to complete the checkout workflow","","","Login as a standard user to complete the checkout workflow",""
"passed","Sat Mar 23 20:03:41 IST 2024","Sat Mar 23 20:03:46 IST 2024","4776","firefox","TC01_ProductTest.spec.js","@Smoke: Login as a standard user to verify the products page and logout from the application","","","@Smoke: Login to Application",""
